Prap	DpleGene	MsexGene
PIERAPT00000027789	DPOGS209814	Msex2.15530,Msex2.10092
PIERAPT00000002263	DPOGS205621	Msex2.06288
PIERAPT00000013054	DPOGS205621	Msex2.06288
PIERAPT00000026883	DPOGS205621	Msex2.06288
PIERAPT00000011585	DPOGS207886	Msex2.00468
PIERAPT00000026276	DPOGS207886	Msex2.00468
PIERAPT00000028029	DPOGS207886	Msex2.00468
PIERAPT00000001995	DPOGS213676	Msex2.08352
PIERAPT00000025030	DPOGS213676	Msex2.08352
PIERAPT00000025515	DPOGS213676	Msex2.08352
PIERAPT00000004714	DPOGS215254,DPOGS215255,DPOGS215256	Msex2.04355
PIERAPT00000010676	DPOGS207875	Msex2.00469
PIERAPT00000015538	DPOGS207875	Msex2.00469
PIERAPT00000031678	DPOGS207875	Msex2.00469
PIERAPT00000003626	DPOGS213948	Msex2.08208
PIERAPT00000014083	DPOGS213948	Msex2.08208
PIERAPT00000034270	DPOGS213948	Msex2.08208
PIERAPT00000003908	DPOGS208071	Msex2.09798
PIERAPT00000020504	DPOGS208071	Msex2.09798
PIERAPT00000022429	DPOGS208071	Msex2.09798
PIERAPT00000026263	DPOGS201830	Msex2.11835,Msex2.15537,Msex2.11836
PIERAPT00000004747	DPOGS206679	Msex2.00532,Msex2.00534
PIERAPT00000033835	DPOGS206679	Msex2.00532,Msex2.00534
PIERAPT00000011849	DPOGS201884	Msex2.06903
PIERAPT00000025624	DPOGS201884	Msex2.06903
PIERAPT00000029187	DPOGS201884	Msex2.06903
PIERAPT00000023951	DPOGS209254,DPOGS209255,DPOGS209257	Msex2.07600
PIERAPT00000032744	DPOGS201916	Msex2.13134,Msex2.13136,Msex2.15542
PIERAPT00000009465	DPOGS214105	Msex2.02021
PIERAPT00000025212	DPOGS214105	Msex2.02021
PIERAPT00000030152	DPOGS214105	Msex2.02021
PIERAPT00000000935	DPOGS214674	Msex2.08753
PIERAPT00000003910	DPOGS214674	Msex2.08753
PIERAPT00000029845	DPOGS214674	Msex2.08753
PIERAPT00000026758	DPOGS209311,DPOGS211843	Msex2.10976,Msex2.08531
PIERAPT00000014120	DPOGS207905	Msex2.04022,Msex2.04021
PIERAPT00000031529	DPOGS207905	Msex2.04022,Msex2.04021
PIERAPT00000000207	DPOGS204170,DPOGS204169	Msex2.13215,Msex2.14587
PIERAPT00000020128	DPOGS200479,DPOGS210787	Msex2.12263
PIERAPT00000007535	DPOGS200479,DPOGS210787	Msex2.12263
PIERAPT00000009235	DPOGS209068	Msex2.03224,Msex2.03227
PIERAPT00000031758	DPOGS209068	Msex2.03224,Msex2.03227
PIERAPT00000014208	DPOGS207255	Msex2.06145,Msex2.06146
PIERAPT00000034589	DPOGS207255	Msex2.06145,Msex2.06146
PIERAPT00000014207	DPOGS214230,DPOGS214229	Msex2.03195
PIERAPT00000032582	DPOGS214230,DPOGS214229	Msex2.03195
PIERAPT00000001809	DPOGS204331	Msex2.03578,Msex2.03581,Msex2.03579
PIERAPT00000021427	DPOGS204956	Msex2.01153,Msex2.01698,Msex2.02391
PIERAPT00000014524	DPOGS209012,DPOGS209011	Msex2.05732
PIERAPT00000029866	DPOGS209012,DPOGS209011	Msex2.05732
PIERAPT00000020698	DPOGS201636,DPOGS205331	Msex2.12521
PIERAPT00000011214	DPOGS201636,DPOGS205331	Msex2.12521
PIERAPT00000005751	DPOGS204875	Msex2.01082
PIERAPT00000034565	DPOGS204875	Msex2.01082
PIERAPT00000028543	DPOGS204875	Msex2.01082
PIERAPT00000027083	DPOGS205776,DPOGS205777,DPOGS205024	Msex2.09542
PIERAPT00000034939	DPOGS202087,DPOGS202088	Msex2.14778,Msex2.08562
PIERAPT00000021674	DPOGS214688	Msex2.13071,Msex2.12739
PIERAPT00000030011	DPOGS214688	Msex2.13071,Msex2.12739
PIERAPT00000016320	DPOGS201079	Msex2.02860,Msex2.02861,Msex2.02859
PIERAPT00000002581	DPOGS211076	Msex2.06536,Msex2.06537
PIERAPT00000026487	DPOGS211076	Msex2.06536,Msex2.06537
PIERAPT00000002049	DPOGS202069	Msex2.02214,Msex2.02216
PIERAPT00000012459	DPOGS202069	Msex2.02214,Msex2.02216
PIERAPT00000002414	DPOGS214628	Msex2.12912,Msex2.12909
PIERAPT00000033484	DPOGS214628	Msex2.12912,Msex2.12909
PIERAPT00000025044	DPOGS206203	Msex2.08587,Msex2.08588
PIERAPT00000019024	DPOGS206203	Msex2.08587,Msex2.08588
PIERAPT00000010953	DPOGS201882	Msex2.06901
