# Species	Genes	Alg.-Conn.	Dp_geneset_OGS2_pep.fasta	MsexOGS2_LongestProt-2021.fas	PierisLongestCDS.fas
3	3	0.963	DPOGS203943-PA	Msex2.07347-RA	PIERAPT00000000125
3	3	0.963	DPOGS204644-PA	Msex2.07444-RA	PIERAPT00000020005
3	3	0.963	DPOGS204743-PA	Msex2.03990-RA	PIERAPT00000003257
3	3	0.963	DPOGS206133-PA	Msex2.09102-RA	PIERAPT00000008482
3	3	0.963	DPOGS206139-PA	Msex2.09092-RA	PIERAPT00000032933
3	3	0.963	DPOGS206303-PA	Msex2.08665-RA	PIERAPT00000013253
3	3	0.963	DPOGS207034-PA	Msex2.03616-RA	PIERAPT00000029381
3	3	0.963	DPOGS207106-PA	Msex2.01573-RA	PIERAPT00000016839
3	3	0.963	DPOGS209329-PA	Msex2.13051-RA	PIERAPT00000024238
3	3	0.963	DPOGS209803-PA	Msex2.07179-RE	PIERAPT00000009067
3	3	0.963	DPOGS209820-PA	Msex2.07178-RA	PIERAPT00000031480
3	3	0.963	DPOGS210158-PA	Msex2.08879-RA	PIERAPT00000031970
3	3	0.963	DPOGS210817-PA	Msex2.06423-RA	PIERAPT00000018834
3	3	0.963	DPOGS211953-PA	Msex2.06808-RA	PIERAPT00000026337
3	3	0.963	DPOGS212189-PA	Msex2.05815-RA	PIERAPT00000008013
3	3	0.963	DPOGS212431-PA	Msex2.04509-RA	PIERAPT00000004919
3	3	0.963	DPOGS213145-PA	Msex2.12302-RA	PIERAPT00000021862
3	3	0.963	DPOGS213255-PA	Msex2.07263-RA	PIERAPT00000006010
3	3	0.963	DPOGS213261-PA	Msex2.07270-RA	PIERAPT00000033163
3	3	0.963	DPOGS213675-PA	Msex2.08348-RA	PIERAPT00000031141
3	3	0.963	DPOGS214126-PA	Msex2.10474-RB	PIERAPT00000023291
3	3	0.963	DPOGS214872-PA	Msex2.01712-RA	PIERAPT00000028315
3	3	0.963	DPOGS215742-PA	Msex2.03750-RA	PIERAPT00000035274
3	3	0.963	DPOGS216122-PA	Msex2.11539-RA	PIERAPT00000015970
3	3	0.962	DPOGS200057-PA	Msex2.02914-RA	PIERAPT00000008872
3	3	0.962	DPOGS200571-PA	Msex2.08365-RA	PIERAPT00000021974
3	3	0.962	DPOGS200621-PA	Msex2.02593-RA	PIERAPT00000021571
3	3	0.962	DPOGS201275-PA	Msex2.02863-RA	PIERAPT00000022733
3	3	0.962	DPOGS202077-PA	Msex2.11106-RB	PIERAPT00000018382
3	3	0.962	DPOGS202410-PA	Msex2.08907-RA	PIERAPT00000019296
3	3	0.962	DPOGS203046-PA	Msex2.01262-RB	PIERAPT00000018878
3	3	0.962	DPOGS204553-PA	Msex2.09390-RA	PIERAPT00000000663
3	3	0.962	DPOGS204579-PA	Msex2.09072-RA	PIERAPT00000012014
3	3	0.962	DPOGS204841-PA	Msex2.01050-RA	PIERAPT00000001871
3	3	0.962	DPOGS205828-PA	Msex2.12576-RA	PIERAPT00000006766
3	3	0.962	DPOGS206281-PA	Msex2.05822-RB	PIERAPT00000022655
3	3	0.962	DPOGS206449-PA	Msex2.00163-RA	PIERAPT00000034011
3	3	0.962	DPOGS207428-PA	Msex2.01445-RA	PIERAPT00000003386
3	3	0.962	DPOGS208476-PA	Msex2.09046-RA	PIERAPT00000024382
3	3	0.962	DPOGS209067-PA	Msex2.03228-RB	PIERAPT00000011785
3	3	0.962	DPOGS209185-PA	Msex2.04471-RA	PIERAPT00000000136
3	3	0.962	DPOGS209955-PA	Msex2.10739-RB	PIERAPT00000001174
3	3	0.962	DPOGS209972-PA	Msex2.07323-RD	PIERAPT00000030058
3	3	0.962	DPOGS211089-PA	Msex2.10080-RA	PIERAPT00000001366
3	3	0.962	DPOGS213147-PA	Msex2.12300-RB	PIERAPT00000013494
3	3	0.962	DPOGS213213-PA	Msex2.05114-RA	PIERAPT00000016814
3	3	0.962	DPOGS213643-PA	Msex2.03661-RA	PIERAPT00000004756
3	3	0.962	DPOGS214091-PA	Msex2.02034-RA	PIERAPT00000021112
3	3	0.962	DPOGS214385-PA	Msex2.09500-RA	PIERAPT00000035565
3	3	0.962	DPOGS215056-PA	Msex2.03562-RA	PIERAPT00000016661
3	3	0.962	DPOGS215342-PA	Msex2.12047-RA	PIERAPT00000010431
3	3	0.962	DPOGS215370-PA	Msex2.08564-RA	PIERAPT00000004561
3	3	0.962	DPOGS215632-PA	Msex2.05486-RK	PIERAPT00000023925
3	3	0.962	DPOGS215864-PA	Msex2.03090-RA	PIERAPT00000005757
3	3	0.962	DPOGS216069-PA	Msex2.01667-RA	PIERAPT00000019923
3	3	0.961	DPOGS200168-PA	Msex2.01011-RA	PIERAPT00000014414
3	3	0.961	DPOGS200626-PA	Msex2.02588-RA	PIERAPT00000001236
3	3	0.961	DPOGS200722-PA	Msex2.07114-RA	PIERAPT00000001370
3	3	0.961	DPOGS200838-PA	Msex2.07796-RA	PIERAPT00000030628
3	3	0.961	DPOGS201111-PA	Msex2.06958-RA	PIERAPT00000007378
3	3	0.961	DPOGS201376-PA	Msex2.01425-RC	PIERAPT00000001616
3	3	0.961	DPOGS201720-PA	Msex2.05983-RA	PIERAPT00000015084
3	3	0.961	DPOGS201738-PA	Msex2.06515-RA	PIERAPT00000032819
3	3	0.961	DPOGS202803-PA	Msex2.07648-RA	PIERAPT00000015095
3	3	0.961	DPOGS203588-PA	Msex2.13646-RA	PIERAPT00000022204
3	3	0.961	DPOGS203788-PA	Msex2.00184-RA	PIERAPT00000022753
3	3	0.961	DPOGS204153-PA	Msex2.11726-RA	PIERAPT00000028891
3	3	0.961	DPOGS205474-PA	Msex2.13276-RB	PIERAPT00000007029
3	3	0.961	DPOGS206320-PA	Msex2.00086-RA	PIERAPT00000031980
3	3	0.961	DPOGS206801-PA	Msex2.01382-RC	PIERAPT00000029690
3	3	0.961	DPOGS207362-PA	Msex2.02759-RA	PIERAPT00000023337
3	3	0.961	DPOGS207889-PA	Msex2.00472-RB	PIERAPT00000012190
3	3	0.961	DPOGS208482-PA	Msex2.13625-RA	PIERAPT00000025392
3	3	0.961	DPOGS208584-PA	Msex2.07848-RA	PIERAPT00000020985
3	3	0.961	DPOGS208644-PA	Msex2.09782-RB	PIERAPT00000018427
3	3	0.961	DPOGS209325-PA	Msex2.06253-RA	PIERAPT00000020842
3	3	0.961	DPOGS209381-PA	Msex2.09719-RA	PIERAPT00000035636
3	3	0.961	DPOGS209725-PA	Msex2.06019-RA	PIERAPT00000024880
3	3	0.961	DPOGS210241-PA	Msex2.09276-RA	PIERAPT00000017203
3	3	0.961	DPOGS210404-PA	Msex2.05008-RF	PIERAPT00000022303
3	3	0.961	DPOGS210602-PA	Msex2.11315-RA	PIERAPT00000007171
3	3	0.961	DPOGS210917-PA	Msex2.00292-RA	PIERAPT00000031653
3	3	0.961	DPOGS211870-PA	Msex2.06812-RA	PIERAPT00000011552
3	3	0.961	DPOGS212170-PA	Msex2.05011-RB	PIERAPT00000031089
3	3	0.961	DPOGS212268-PA	Msex2.03273-RA	PIERAPT00000032936
3	3	0.961	DPOGS213629-PA	Msex2.12256-RD	PIERAPT00000020414
3	3	0.961	DPOGS214216-PA	Msex2.03172-RA	PIERAPT00000018047
3	3	0.961	DPOGS214561-PA	Msex2.02126-RA	PIERAPT00000008346
3	3	0.961	DPOGS215381-PA	Msex2.07296-RA	PIERAPT00000031007
3	3	0.961	DPOGS216048-PA	Msex2.01689-RC	PIERAPT00000013378
3	3	0.96	DPOGS200005-PA	Msex2.03836-RA	PIERAPT00000019113
3	3	0.96	DPOGS200332-PA	Msex2.05373-RA	PIERAPT00000018327
3	3	0.96	DPOGS200370-PA	Msex2.01119-RD	PIERAPT00000026295
3	3	0.96	DPOGS200603-PA	Msex2.04070-RA	PIERAPT00000014556
3	3	0.96	DPOGS200686-PA	Msex2.02575-RA	PIERAPT00000011978
3	3	0.96	DPOGS201367-PA	Msex2.06547-RA	PIERAPT00000010871
3	3	0.96	DPOGS201647-PA	Msex2.12997-RB	PIERAPT00000021319
3	3	0.96	DPOGS202721-PA	Msex2.11409-RA	PIERAPT00000002728
3	3	0.96	DPOGS203235-PA	Msex2.07596-RK	PIERAPT00000029448
3	3	0.96	DPOGS203259-PA	Msex2.10264-RA	PIERAPT00000009376
3	3	0.96	DPOGS203701-PA	Msex2.00197-RB	PIERAPT00000018158
3	3	0.96	DPOGS203726-PA	Msex2.07012-RA	PIERAPT00000026441
3	3	0.96	DPOGS203960-PA	Msex2.08256-RB	PIERAPT00000022144
3	3	0.96	DPOGS204342-PA	Msex2.03576-RA	PIERAPT00000023952
3	3	0.96	DPOGS204583-PA	Msex2.02522-RB	PIERAPT00000004676
3	3	0.96	DPOGS204969-PA	Msex2.08296-RA	PIERAPT00000004027
3	3	0.96	DPOGS205614-PA	Msex2.07971-RA	PIERAPT00000024304
3	3	0.96	DPOGS206666-PA	Msex2.00505-RC	PIERAPT00000013130
3	3	0.96	DPOGS206685-PA	Msex2.05207-RA	PIERAPT00000031538
3	3	0.96	DPOGS206793-PA	Msex2.11395-RB	PIERAPT00000019222
3	3	0.96	DPOGS207101-PA	Msex2.01570-RA	PIERAPT00000017548
3	3	0.96	DPOGS207246-PA	Msex2.05525-RA	PIERAPT00000012309
3	3	0.96	DPOGS207444-PA	Msex2.08239-RA	PIERAPT00000010821
3	3	0.96	DPOGS208914-PA	Msex2.09327-RA	PIERAPT00000024882
3	3	0.96	DPOGS209232-PA	Msex2.04012-RA	PIERAPT00000012604
3	3	0.96	DPOGS209572-PA	Msex2.05042-RA	PIERAPT00000003130
3	3	0.96	DPOGS209866-PA	Msex2.14667-RA	PIERAPT00000028940
3	3	0.96	DPOGS211784-PA	Msex2.05865-RA	PIERAPT00000009573
3	3	0.96	DPOGS212256-PA	Msex2.03285-RA	PIERAPT00000002276
3	3	0.96	DPOGS212368-PA	Msex2.12334-RA	PIERAPT00000035613
3	3	0.96	DPOGS213582-PA	Msex2.02361-RA	PIERAPT00000015505
3	3	0.96	DPOGS214049-PA	Msex2.02674-RA	PIERAPT00000030788
3	3	0.96	DPOGS214303-PA	Msex2.09505-RA	PIERAPT00000026680
3	3	0.96	DPOGS214319-PA	Msex2.05850-RA	PIERAPT00000003686
3	3	0.96	DPOGS214713-PA	Msex2.01234-RA	PIERAPT00000000167
3	3	0.96	DPOGS215292-PA	Msex2.11667-RA	PIERAPT00000005906
3	3	0.96	DPOGS215624-PA	Msex2.10037-RA	PIERAPT00000024155
3	3	0.959	DPOGS200333-PA	Msex2.05359-RB	PIERAPT00000031245
3	3	0.959	DPOGS200601-PA	Msex2.04065-RA	PIERAPT00000006242
3	3	0.959	DPOGS201901-PA	Msex2.06923-RA	PIERAPT00000033995
3	3	0.959	DPOGS202350-PA	Msex2.09228-RB	PIERAPT00000034170
3	3	0.959	DPOGS202411-PA	Msex2.08908-RB	PIERAPT00000026170
3	3	0.959	DPOGS202595-PA	Msex2.02659-RA	PIERAPT00000002033
3	3	0.959	DPOGS202836-PA	Msex2.10768-RA	PIERAPT00000027565
3	3	0.959	DPOGS203162-PA	Msex2.06731-RA	PIERAPT00000027899
3	3	0.959	DPOGS204061-PA	Msex2.13297-RA	PIERAPT00000009694
3	3	0.959	DPOGS204195-PA	Msex2.14021-RB	PIERAPT00000000434
3	3	0.959	DPOGS205709-PA	Msex2.08630-RA	PIERAPT00000025158
3	3	0.959	DPOGS205713-PA	Msex2.08637-RA	PIERAPT00000001242
3	3	0.959	DPOGS206046-PA	Msex2.09108-RA	PIERAPT00000009214
3	3	0.959	DPOGS206902-PA	Msex2.03619-RC	PIERAPT00000004965
3	3	0.959	DPOGS206910-PA	Msex2.03605-RA	PIERAPT00000015451
3	3	0.959	DPOGS207075-PA	Msex2.10180-RA	PIERAPT00000011768
3	3	0.959	DPOGS208114-PA	Msex2.01319-RA	PIERAPT00000030875
3	3	0.959	DPOGS209214-PA	Msex2.09063-RA	PIERAPT00000006509
3	3	0.959	DPOGS209473-PA	Msex2.12657-RA	PIERAPT00000011058
3	3	0.959	DPOGS209633-PA	Msex2.12015-RA	PIERAPT00000033503
3	3	0.959	DPOGS209641-PA	Msex2.05047-RA	PIERAPT00000021468
3	3	0.959	DPOGS209792-PA	Msex2.10148-RB	PIERAPT00000035263
3	3	0.959	DPOGS210953-PA	Msex2.00612-RA	PIERAPT00000033850
3	3	0.959	DPOGS210987-PA	Msex2.07253-RA	PIERAPT00000002248
3	3	0.959	DPOGS211299-PA	Msex2.06607-RB	PIERAPT00000012451
3	3	0.959	DPOGS212047-PA	Msex2.06092-RA	PIERAPT00000020388
3	3	0.959	DPOGS212267-PA	Msex2.03275-RC	PIERAPT00000025839
3	3	0.959	DPOGS213427-PA	Msex2.05927-RA	PIERAPT00000035347
3	3	0.959	DPOGS213574-PA	Msex2.02341-RC	PIERAPT00000017637
3	3	0.959	DPOGS213695-PA	Msex2.14311-RD	PIERAPT00000010864
3	3	0.959	DPOGS213980-PA	Msex2.09734-RC	PIERAPT00000023306
3	3	0.959	DPOGS214581-PA	Msex2.11015-RB	PIERAPT00000015595
3	3	0.959	DPOGS214749-PA	Msex2.01241-RA	PIERAPT00000029621
3	3	0.959	DPOGS215695-PA	Msex2.03731-RA	PIERAPT00000027161
3	3	0.959	DPOGS215702-PA	Msex2.00934-RA	PIERAPT00000028786
3	3	0.959	DPOGS215754-PA	Msex2.09635-RA	PIERAPT00000005217
3	3	0.959	DPOGS215829-PA	Msex2.08471-RE	PIERAPT00000032877
3	3	0.959	DPOGS215866-PA	Msex2.03086-RA	PIERAPT00000009632
3	3	0.959	DPOGS215971-PA	Msex2.09482-RA	PIERAPT00000030805
3	3	0.958	DPOGS200039-PA	Msex2.01975-RA	PIERAPT00000031855
3	3	0.958	DPOGS200141-PA	Msex2.01014-RA	PIERAPT00000012803
3	3	0.958	DPOGS201348-PA	Msex2.12979-RA	PIERAPT00000010460
3	3	0.958	DPOGS201642-PA	Msex2.01785-RA	PIERAPT00000034542
3	3	0.958	DPOGS202079-PA	Msex2.02630-RA	PIERAPT00000031752
3	3	0.958	DPOGS202263-PA	Msex2.12582-RB	PIERAPT00000001598
3	3	0.958	DPOGS203078-PA	Msex2.09769-RA	PIERAPT00000023298
3	3	0.958	DPOGS203212-PA	Msex2.06736-RA	PIERAPT00000017030
3	3	0.958	DPOGS203614-PA	Msex2.01156-RA	PIERAPT00000031899
3	3	0.958	DPOGS203630-PA	Msex2.05956-RA	PIERAPT00000010185
3	3	0.958	DPOGS203747-PA	Msex2.05600-RA	PIERAPT00000012628
3	3	0.958	DPOGS204107-PA	Msex2.00754-RA	PIERAPT00000005055
3	3	0.958	DPOGS204316-PA	Msex2.11931-RA	PIERAPT00000029545
3	3	0.958	DPOGS204963-PA	Msex2.01931-RA	PIERAPT00000019792
3	3	0.958	DPOGS205116-PA	Msex2.08131-RA	PIERAPT00000014270
3	3	0.958	DPOGS206132-PA	Msex2.09099-RA	PIERAPT00000013810
3	3	0.958	DPOGS206246-PA	Msex2.11724-RB	PIERAPT00000010866
3	3	0.958	DPOGS206275-PA	Msex2.05809-RB	PIERAPT00000018034
3	3	0.958	DPOGS206781-PA	Msex2.03426-RB	PIERAPT00000005466
3	3	0.958	DPOGS206847-PA	Msex2.01562-RC	PIERAPT00000007340
3	3	0.958	DPOGS206906-PA	Msex2.03615-RA	PIERAPT00000031846
3	3	0.958	DPOGS207013-PA	Msex2.08038-RA	PIERAPT00000013161
3	3	0.958	DPOGS207186-PA	Msex2.07394-RB	PIERAPT00000007983
3	3	0.958	DPOGS207955-PA	Msex2.03124-RB	PIERAPT00000035215
3	3	0.958	DPOGS208457-PA	Msex2.07849-RC	PIERAPT00000019597
3	3	0.958	DPOGS208509-PA	Msex2.12343-RA	PIERAPT00000011870
3	3	0.958	DPOGS208541-PA	Msex2.06717-RE	PIERAPT00000015631
3	3	0.958	DPOGS209305-PA	Msex2.13050-RA	PIERAPT00000003022
3	3	0.958	DPOGS209545-PA	Msex2.05698-RA	PIERAPT00000006441
3	3	0.958	DPOGS209723-PA	Msex2.05529-RA	PIERAPT00000013445
3	3	0.958	DPOGS210214-PA	Msex2.13548-RA	PIERAPT00000029192
3	3	0.958	DPOGS210537-PA	Msex2.04262-RA	PIERAPT00000025668
3	3	0.958	DPOGS210557-PA	Msex2.04255-RB	PIERAPT00000025700
3	3	0.958	DPOGS210839-PA	Msex2.09691-RA	PIERAPT00000013340
3	3	0.958	DPOGS211041-PA	Msex2.09511-RA	PIERAPT00000002406
3	3	0.958	DPOGS211190-PA	Msex2.12361-RA	PIERAPT00000004031
3	3	0.958	DPOGS211664-PA	Msex2.05961-RA	PIERAPT00000002354
3	3	0.958	DPOGS211900-PA	Msex2.04553-RB	PIERAPT00000030259
3	3	0.958	DPOGS212927-PA	Msex2.03490-RA	PIERAPT00000008713
3	3	0.958	DPOGS214177-PA	Msex2.03134-RA	PIERAPT00000024162
3	3	0.958	DPOGS214723-PA	Msex2.01215-RB	PIERAPT00000030749
3	3	0.958	DPOGS214841-PA	Msex2.01708-RB	PIERAPT00000023919
3	3	0.958	DPOGS215920-PA	Msex2.03075-RB	PIERAPT00000021843
3	3	0.958	DPOGS216159-PA	Msex2.12771-RB	PIERAPT00000010717
3	3	0.957	DPOGS200022-PA	Msex2.12606-RA	PIERAPT00000034763
3	3	0.957	DPOGS200181-PA	Msex2.06755-RB	PIERAPT00000026463
3	3	0.957	DPOGS200186-PA	Msex2.06759-RA	PIERAPT00000023865
3	3	0.957	DPOGS200356-PA	Msex2.07823-RA	PIERAPT00000032406
3	3	0.957	DPOGS201446-PA	Msex2.03937-RA	PIERAPT00000031911
3	3	0.957	DPOGS201744-PA	Msex2.06504-RG	PIERAPT00000020525
3	3	0.957	DPOGS201994-PA	Msex2.05584-RA	PIERAPT00000019012
3	3	0.957	DPOGS202412-PA	Msex2.08906-RA	PIERAPT00000000369
3	3	0.957	DPOGS203172-PA	Msex2.06750-RB	PIERAPT00000024673
3	3	0.957	DPOGS204357-PA	Msex2.02786-RA	PIERAPT00000025974
3	3	0.957	DPOGS205641-PA	Msex2.05649-RB	PIERAPT00000011814
3	3	0.957	DPOGS205858-PA	Msex2.11272-RA	PIERAPT00000032246
3	3	0.957	DPOGS206153-PA	Msex2.09013-RA	PIERAPT00000034623
3	3	0.957	DPOGS206250-PA	Msex2.11725-RA	PIERAPT00000005225
3	3	0.957	DPOGS206705-PA	Msex2.15503-RC	PIERAPT00000015726
3	3	0.957	DPOGS206950-PA	Msex2.01531-RA	PIERAPT00000033608
3	3	0.957	DPOGS207326-PA	Msex2.09868-RA	PIERAPT00000010042
3	3	0.957	DPOGS207668-PA	Msex2.05752-RA	PIERAPT00000031996
3	3	0.957	DPOGS207888-PA	Msex2.00470-RA	PIERAPT00000011979
3	3	0.957	DPOGS208211-PA	Msex2.02096-RB	PIERAPT00000023074
3	3	0.957	DPOGS208498-PA	Msex2.06711-RD	PIERAPT00000019237
3	3	0.957	DPOGS208898-PA	Msex2.08016-RA	PIERAPT00000027760
3	3	0.957	DPOGS209452-PA	Msex2.02792-RA	PIERAPT00000023479
3	3	0.957	DPOGS209546-PA	Msex2.05695-RA	PIERAPT00000031031
3	3	0.957	DPOGS209629-PA	Msex2.11954-RB	PIERAPT00000006903
3	3	0.957	DPOGS209799-PA	Msex2.07184-RB	PIERAPT00000034143
3	3	0.957	DPOGS210216-PA	Msex2.09290-RA	PIERAPT00000020511
3	3	0.957	DPOGS210332-PA	Msex2.08935-RA	PIERAPT00000029529
3	3	0.957	DPOGS210685-PA	Msex2.12536-RA	PIERAPT00000029853
3	3	0.957	DPOGS211554-PA	Msex2.01526-RA	PIERAPT00000031969
3	3	0.957	DPOGS211824-PA	Msex2.09519-RA	PIERAPT00000020717
3	3	0.957	DPOGS212400-PA	Msex2.10874-RD	PIERAPT00000003204
3	3	0.957	DPOGS212577-PA	Msex2.09352-RA	PIERAPT00000014770
3	3	0.957	DPOGS213170-PA	Msex2.05113-RA	PIERAPT00000011102
3	3	0.957	DPOGS214770-PA	Msex2.02994-RA	PIERAPT00000009027
3	3	0.957	DPOGS215047-PA	Msex2.03559-RA	PIERAPT00000034738
3	3	0.957	DPOGS215184-PA	Msex2.05892-RA	PIERAPT00000003267
3	3	0.957	DPOGS215393-PA	Msex2.04615-RA	PIERAPT00000007096
3	3	0.957	DPOGS215735-PA	Msex2.03743-RA	PIERAPT00000009113
3	3	0.956	DPOGS200382-PA	Msex2.02704-RA	PIERAPT00000021144
3	3	0.956	DPOGS201017-PA	Msex2.03364-RA	PIERAPT00000021814
3	3	0.956	DPOGS202018-PA	Msex2.00675-RA	PIERAPT00000005083
3	3	0.956	DPOGS202043-PA	Msex2.14120-RA	PIERAPT00000017178
3	3	0.956	DPOGS202196-PA	Msex2.07713-RB	PIERAPT00000010566
3	3	0.956	DPOGS202634-PA	Msex2.01168-RA	PIERAPT00000010965
3	3	0.956	DPOGS202679-PA	Msex2.03973-RB	PIERAPT00000026821
3	3	0.956	DPOGS202784-PA	Msex2.10767-RD	PIERAPT00000035799
3	3	0.956	DPOGS203048-PA	Msex2.01259-RC	PIERAPT00000011648
3	3	0.956	DPOGS204433-PA	Msex2.08978-RA	PIERAPT00000013172
3	3	0.956	DPOGS205656-PA	Msex2.05636-RA	PIERAPT00000025469
3	3	0.956	DPOGS206015-PA	Msex2.11608-RA	PIERAPT00000013210
3	3	0.956	DPOGS207038-PA	Msex2.03620-RA	PIERAPT00000028803
3	3	0.956	DPOGS207965-PA	Msex2.06350-RA	PIERAPT00000022530
3	3	0.956	DPOGS208109-PA	Msex2.01325-RA	PIERAPT00000020592
3	3	0.956	DPOGS208429-PA	Msex2.04433-RA	PIERAPT00000028740
3	3	0.956	DPOGS208746-PA	Msex2.04115-RA	PIERAPT00000006093
3	3	0.956	DPOGS208816-PA	Msex2.04887-RB	PIERAPT00000021564
3	3	0.956	DPOGS210929-PA	Msex2.00274-RB	PIERAPT00000013134
3	3	0.956	DPOGS211026-PA	Msex2.00593-RA	PIERAPT00000034700
3	3	0.956	DPOGS211278-PA	Msex2.05706-RC	PIERAPT00000021336
3	3	0.956	DPOGS211712-PA	Msex2.02779-RA	PIERAPT00000020325
3	3	0.956	DPOGS211949-PA	Msex2.06815-RA	PIERAPT00000004801
3	3	0.956	DPOGS212434-PA	Msex2.04513-RA	PIERAPT00000017781
3	3	0.956	DPOGS212635-PA	Msex2.02923-RA	PIERAPT00000032378
3	3	0.956	DPOGS212942-PA	Msex2.15263-RA	PIERAPT00000020648
3	3	0.956	DPOGS213403-PA	Msex2.08891-RE	PIERAPT00000022950
3	3	0.956	DPOGS214178-PA	Msex2.03136-RB	PIERAPT00000007417
3	3	0.956	DPOGS214438-PA	Msex2.07748-RA	PIERAPT00000007099
3	3	0.956	DPOGS214534-PA	Msex2.00348-RC	PIERAPT00000018744
3	3	0.956	DPOGS215565-PA	Msex2.04400-RA	PIERAPT00000019257
3	3	0.956	DPOGS215802-PA	Msex2.06998-RA	PIERAPT00000004614
3	3	0.956	DPOGS216046-PA	Msex2.01678-RB	PIERAPT00000028422
3	3	0.955	DPOGS200544-PA	Msex2.08867-RD	PIERAPT00000035660
3	3	0.955	DPOGS200942-PA	Msex2.12310-RA	PIERAPT00000034431
3	3	0.955	DPOGS202260-PA	Msex2.12579-RA	PIERAPT00000014835
3	3	0.955	DPOGS203216-PA	Msex2.11926-RA	PIERAPT00000019937
3	3	0.955	DPOGS203228-PA	Msex2.00408-RA	PIERAPT00000030364
3	3	0.955	DPOGS203611-PA	Msex2.01159-RA	PIERAPT00000022437
3	3	0.955	DPOGS206421-PA	Msex2.08535-RA	PIERAPT00000025065
3	3	0.955	DPOGS206454-PA	Msex2.01897-RA	PIERAPT00000004914
3	3	0.955	DPOGS207392-PA	Msex2.01634-RA	PIERAPT00000019677
3	3	0.955	DPOGS207532-PA	Msex2.06365-RI	PIERAPT00000009672
3	3	0.955	DPOGS209183-PA	Msex2.04475-RB	PIERAPT00000030243
3	3	0.955	DPOGS209825-PA	Msex2.07180-RA	PIERAPT00000032194
3	3	0.955	DPOGS210296-PA	Msex2.11039-RA	PIERAPT00000032387
3	3	0.955	DPOGS210349-PA	Msex2.07642-RA	PIERAPT00000003859
3	3	0.955	DPOGS210544-PA	Msex2.04247-RA	PIERAPT00000035070
3	3	0.955	DPOGS210643-PA	Msex2.11967-RB	PIERAPT00000009367
3	3	0.955	DPOGS211111-PA	Msex2.12364-RA	PIERAPT00000009046
3	3	0.955	DPOGS211117-PA	Msex2.11206-RA	PIERAPT00000006243
3	3	0.955	DPOGS211149-PA	Msex2.09244-RA	PIERAPT00000003007
3	3	0.955	DPOGS211921-PA	Msex2.05659-RA	PIERAPT00000018896
3	3	0.955	DPOGS213006-PA	Msex2.05505-RA	PIERAPT00000016921
3	3	0.955	DPOGS213237-PA	Msex2.07271-RA	PIERAPT00000010877
3	3	0.955	DPOGS213428-PA	Msex2.05928-RB	PIERAPT00000021976
3	3	0.955	DPOGS213839-PA	Msex2.02639-RA	PIERAPT00000027218
3	3	0.955	DPOGS214054-PA	Msex2.02682-RA	PIERAPT00000012031
3	3	0.955	DPOGS214516-PA	Msex2.00340-RB	PIERAPT00000007064
3	3	0.955	DPOGS215555-PA	Msex2.11187-RA	PIERAPT00000023746
3	3	0.955	DPOGS215598-PA	Msex2.04403-RA	PIERAPT00000000296
3	3	0.955	DPOGS215942-PA	Msex2.08747-RA	PIERAPT00000025558
3	3	0.954	DPOGS200357-PA	Msex2.07824-RB	PIERAPT00000010252
3	3	0.954	DPOGS200575-PA	Msex2.12612-RA	PIERAPT00000012895
3	3	0.954	DPOGS201664-PA	Msex2.00158-RA	PIERAPT00000005123
3	3	0.954	DPOGS202674-PA	Msex2.10412-RA	PIERAPT00000000754
3	3	0.954	DPOGS203593-PA	Msex2.01135-RA	PIERAPT00000013757
3	3	0.954	DPOGS203719-PA	Msex2.10053-RA	PIERAPT00000031919
3	3	0.954	DPOGS203769-PA	Msex2.09440-RA	PIERAPT00000027154
3	3	0.954	DPOGS203915-PA	Msex2.13875-RA	PIERAPT00000025548
3	3	0.954	DPOGS204414-PA	Msex2.06844-RB	PIERAPT00000000354
3	3	0.954	DPOGS204455-PA	Msex2.08973-RA	PIERAPT00000025055
3	3	0.954	DPOGS204567-PA	Msex2.02516-RA	PIERAPT00000013520
3	3	0.954	DPOGS206308-PA	Msex2.04732-RB	PIERAPT00000002348
3	3	0.954	DPOGS206789-PA	Msex2.07400-RB	PIERAPT00000031796
3	3	0.954	DPOGS207040-PA	Msex2.03623-RA	PIERAPT00000034528
3	3	0.954	DPOGS207789-PA	Msex2.06663-RA	PIERAPT00000016863
3	3	0.954	DPOGS207820-PA	Msex2.02256-RA	PIERAPT00000000827
3	3	0.954	DPOGS207959-PA	Msex2.03127-RA	PIERAPT00000010193
3	3	0.954	DPOGS208133-PA	Msex2.01326-RB	PIERAPT00000032792
3	3	0.954	DPOGS208435-PA	Msex2.04438-RA	PIERAPT00000033412
3	3	0.954	DPOGS208538-PA	Msex2.06721-RB	PIERAPT00000027305
3	3	0.954	DPOGS208836-PA	Msex2.12002-RA	PIERAPT00000001756
3	3	0.954	DPOGS209966-PA	Msex2.07314-RA	PIERAPT00000015279
3	3	0.954	DPOGS210201-PA	Msex2.02157-RB	PIERAPT00000002811
3	3	0.954	DPOGS211022-PA	Msex2.00598-RK	PIERAPT00000034095
3	3	0.954	DPOGS211302-PA	Msex2.05248-RA	PIERAPT00000031022
3	3	0.954	DPOGS211857-PA	Msex2.06791-RB	PIERAPT00000029077
3	3	0.954	DPOGS211928-PA	Msex2.04548-RA	PIERAPT00000006724
3	3	0.954	DPOGS212411-PA	Msex2.04514-RA	PIERAPT00000033836
