# Species	Genes	Alg.-Conn.	Dp_geneset_OGS2_pep.fasta	MsexOGS2_LongestProt-2021.fas	PierisLongestCDS.fas
3	4	0.498	DPOGS210833-PA	Msex2.09689-RA	PIERAPT00000018763,PIERAPT00000031207
3	4	0.498	DPOGS211975-PA	Msex2.11817-RA,Msex2.13442-RB	PIERAPT00000030835
3	4	0.497	DPOGS201202-PA	Msex2.04767-RB	PIERAPT00000012284,PIERAPT00000034032
3	4	0.497	DPOGS201254-PA	Msex2.02236-RB	PIERAPT00000016861,PIERAPT00000031929
3	4	0.497	DPOGS201418-PA	Msex2.10311-RA	PIERAPT00000020748,PIERAPT00000027968
3	4	0.497	DPOGS203237-PA	Msex2.07594-RA	PIERAPT00000022572,PIERAPT00000027854
3	4	0.497	DPOGS205263-PA	Msex2.00308-RA	PIERAPT00000000051,PIERAPT00000030766
3	4	0.497	DPOGS205500-PA	Msex2.09596-RA	PIERAPT00000016727,PIERAPT00000024761
3	4	0.497	DPOGS205819-PA	Msex2.11262-RA	PIERAPT00000003590,PIERAPT00000027507
3	4	0.497	DPOGS206617-PA	Msex2.05191-RA	PIERAPT00000002897,PIERAPT00000027571
3	4	0.497	DPOGS208069-PA	Msex2.11121-RB	PIERAPT00000018435,PIERAPT00000033206
3	4	0.497	DPOGS213064-PA	Msex2.08800-RB,Msex2.11453-RA	PIERAPT00000026398
3	4	0.497	DPOGS214586-PA	Msex2.11005-RA	PIERAPT00000004373,PIERAPT00000031049
3	4	0.497	DPOGS214958-PA	Msex2.01507-RD	PIERAPT00000004176,PIERAPT00000018989
3	4	0.496	DPOGS204024-PA	Msex2.00852-RA	PIERAPT00000012100,PIERAPT00000019999
3	4	0.496	DPOGS205047-PA	Msex2.05006-RA	PIERAPT00000004789,PIERAPT00000011539
3	4	0.496	DPOGS206719-PA	Msex2.04487-RA,Msex2.04488-RA	PIERAPT00000026454
3	4	0.496	DPOGS208954-PA	Msex2.09332-RA	PIERAPT00000013120,PIERAPT00000028076
3	4	0.496	DPOGS209413-PA	Msex2.08400-RA	PIERAPT00000001271,PIERAPT00000013040
3	4	0.496	DPOGS209769-PA	Msex2.09871-RA	PIERAPT00000021547,PIERAPT00000033130
