"TranscriptID","GeneID","GeneName"
"PIERAPT00000000752","PIERAPG00000000310","P27K"
"PIERAPT00000000753","PIERAPG00000000311","TDRD3"
"PIERAPT00000000754","PIERAPG00000000312","Elovl4"
"PIERAPT00000000755","PIERAPG00000000313","Hexa"
"PIERAPT00000000756","PIERAPG00000000314","Hs2st"
"PIERAPT00000000757","PIERAPG00000000315","ZAN"
"PIERAPT00000000758","PIERAPG00000000316","DONSON"
"PIERAPT00000000759","PIERAPG00000000317","Lac"
"PIERAPT00000000761","PIERAPG00000000318","alpha-Adaptin"
"PIERAPT00000000762","PIERAPG00000000319","PGRP"
"PIERAPT00000000763","PIERAPG00000000320","MT-ND4"
"PIERAPT00000000764","PIERAPG00000000321","G108848"
"PIERAPT00000000765","PIERAPG00000000322","myd88-a"
"PIERAPT00000000766","PIERAPG00000000323","POT6"
"PIERAPT00000000767","PIERAPG00000000324","PCF3"
"PIERAPT00000000768","PIERAPG00000000325","gxylt1"
"PIERAPT00000000771","PIERAPG00000000326","ranbp9"
"PIERAPT00000000773","PIERAPG00000000327","Chc"
"PIERAPT00000000774","PIERAPG00000000328","vipas39"
"PIERAPT00000000776","PIERAPG00000000329","DOCK3"
"PIERAPT00000000780","PIERAPG00000000330","EHBP1"
"PIERAPT00000000783","PIERAPG00000000331","Lip3"
"PIERAPT00000000785","PIERAPG00000000332","HECTD4"
"PIERAPT00000000791","PIERAPG00000000333","ZNF358Zscan10ZNF581FEZF2"
"PIERAPT00000000793","PIERAPG00000000334","PRPF19"
"PIERAPT00000000794","PIERAPG00000000335","Taf8"
"PIERAPT00000000801","PIERAPG00000000336","Fas3"
"PIERAPT00000000804","PIERAPG00000000337","truA"
"PIERAPT00000000808","PIERAPG00000000338","igf1r"
"PIERAPT00000000811","PIERAPG00000000339","ung"
"PIERAPT00000000812","PIERAPG00000000340","hykk"
"PIERAPT00000000827","PIERAPG00000000341","COASY"
"PIERAPT00000000832","PIERAPG00000000342","Hmx"
"PIERAPT00000000834","PIERAPG00000000343","Rnf41"
"PIERAPT00000000835","PIERAPG00000000344","TppII"
"PIERAPT00000000836","PIERAPG00000000345","atg3"
"PIERAPT00000000837","PIERAPG00000000346","Adf1"
"PIERAPT00000000838","PIERAPG00000000347","SLC18A2"
"PIERAPT00000000839","PIERAPG00000000348","EDEM3"
"PIERAPT00000000841","PIERAPG00000000349","CTR2CHYM2"
"PIERAPT00000000844","PIERAPG00000000350","dctR"
"PIERAPT00000000846","PIERAPG00000000351","ME1"
"PIERAPT00000000853","PIERAPG00000000352","gatA"
"PIERAPT00000000854","PIERAPG00000000353","rapA"
"PIERAPT00000000855","PIERAPG00000000354","TNT"
"PIERAPT00000000860","PIERAPG00000000355","TMEM214"
"PIERAPT00000000862","PIERAPG00000000356","G103809"
"PIERAPT00000000863","PIERAPG00000000357","CYP6L1CYP6K1"
"PIERAPT00000000867","PIERAPG00000000358","rbfA"
"PIERAPT00000000870","PIERAPG00000000359","ESTJ"
"PIERAPT00000000871","PIERAPG00000000360","slc36a4"
"PIERAPT00000000878","PIERAPG00000000361","Farp1"
"PIERAPT00000000881","PIERAPG00000000362","esf2"
"PIERAPT00000000882","PIERAPG00000000363","Arl1"
"PIERAPT00000000884","PIERAPG00000000364","Tret1"
"PIERAPT00000000886","PIERAPG00000000365","ben"
"PIERAPT00000000887","PIERAPG00000000366","TGas113e22.1"
"PIERAPT00000000888","PIERAPG00000000367","SP"
"PIERAPT00000000890","PIERAPG00000000368","MYRO1_2"
"PIERAPT00000000893","PIERAPG00000000369","MCT1A"
"PIERAPT00000000894","PIERAPG00000000370","SLC17A6"
"PIERAPT00000000895","PIERAPG00000000371","Iqca1p1"
"PIERAPT00000000896","PIERAPG00000000372","Tret1_2"
"PIERAPT00000000897","PIERAPG00000000373","IYD"
"PIERAPT00000000898","PIERAPG00000000374","HOP3"
"PIERAPT00000000899","PIERAPG00000000375","Gale"
"PIERAPT00000000900","PIERAPG00000000376","CG31559"
"PIERAPT00000000904","PIERAPG00000000377","TMEM245"
