"TrxID","GeneName","GeneID"
"PIERAPT00000000079","HADHB","PIERAPG00000000023"
"PIERAPT00000000080","Dscam2KIAA0195med6","PIERAPG00000000024"
"PIERAPT00000000081","Dscam2KIAA0195med6","PIERAPG00000000024"
"PIERAPT00000000082","Dscam2KIAA0195med6","PIERAPG00000000024"
"PIERAPT00000000083","Dscam2KIAA0195med6","PIERAPG00000000024"
"PIERAPT00000000084","Dscam2KIAA0195med6","PIERAPG00000000024"
"PIERAPT00000000085","Dscam2KIAA0195med6","PIERAPG00000000024"
"PIERAPT00000000086","Dscam2KIAA0195med6","PIERAPG00000000024"
"PIERAPT00000000087","Dscam2KIAA0195med6","PIERAPG00000000024"
"PIERAPT00000000088","Dscam2KIAA0195med6","PIERAPG00000000024"
"PIERAPT00000000089","ESA","PIERAPG00000000025"
"PIERAPT00000000090","AAEL001134","PIERAPG00000000026"
"PIERAPT00000000091","AAEL001134","PIERAPG00000000026"
"PIERAPT00000000092","AAEL001134","PIERAPG00000000026"
"PIERAPT00000000093","EST6","PIERAPG00000000027"
"PIERAPT00000000094","EST6","PIERAPG00000000027"
"PIERAPT00000000095","EST6","PIERAPG00000000027"
"PIERAPT00000000096","EST6","PIERAPG00000000027"
"PIERAPT00000000097","EST6","PIERAPG00000000027"
"PIERAPT00000000098","Zfp37","PIERAPG00000000028"
"PIERAPT00000000099","HINT2","PIERAPG00000000029"
"PIERAPT00000000100","MYH15","PIERAPG00000000030"
"PIERAPT00000000101","MJ1623","PIERAPG00000000031"
"PIERAPT00000000102","Stx7","PIERAPG00000000032"
"PIERAPT00000000103","Stx7","PIERAPG00000000032"
"PIERAPT00000000104","Stx7","PIERAPG00000000032"
"PIERAPT00000000105","Stx7","PIERAPG00000000032"
"PIERAPT00000000106","Stx7","PIERAPG00000000032"
"PIERAPT00000000107","accDrhot1amug68","PIERAPG00000000033"
"PIERAPT00000000108","accDrhot1amug68","PIERAPG00000000033"
"PIERAPT00000000109","accDrhot1amug68","PIERAPG00000000033"
"PIERAPT00000000110","CASC1","PIERAPG00000000034"
"PIERAPT00000000111","G105351","PIERAPG00000000035"
"PIERAPT00000000112","G105351","PIERAPG00000000035"
"PIERAPT00000000113","G105351","PIERAPG00000000035"
"PIERAPT00000000114","G105351","PIERAPG00000000035"
"PIERAPT00000000115","G105351","PIERAPG00000000035"
"PIERAPT00000000116","G105351","PIERAPG00000000035"
"PIERAPT00000000117","G105351","PIERAPG00000000035"
"PIERAPT00000000118","MaxPOLN","PIERAPG00000000036"
"PIERAPT00000000119","MaxPOLN","PIERAPG00000000036"
"PIERAPT00000000120","MaxPOLN","PIERAPG00000000036"
"PIERAPT00000000121","MaxPOLN","PIERAPG00000000036"
"PIERAPT00000000122","MaxPOLN","PIERAPG00000000036"
"PIERAPT00000000123","clpB","PIERAPG00000000037"
"PIERAPT00000000124","Ava","PIERAPG00000000038"
"PIERAPT00000000125","foxf1","PIERAPG00000000039"
"PIERAPT00000000126","foxf1","PIERAPG00000000039"
"PIERAPT00000000127","Cyt-b5-r","PIERAPG00000000040"
"PIERAPT00000000128","Cyt-b5-r","PIERAPG00000000040"
"PIERAPT00000000129","Inpp5eCdc42bpa","PIERAPG00000000041"
"PIERAPT00000000130","Inpp5eCdc42bpa","PIERAPG00000000041"
"PIERAPT00000000131","Inpp5eCdc42bpa","PIERAPG00000000041"
"PIERAPT00000000132","Inpp5eCdc42bpa","PIERAPG00000000041"
"PIERAPT00000000133","Inpp5eCdc42bpa","PIERAPG00000000041"
"PIERAPT00000000134","futsch","PIERAPG00000000042"
"PIERAPT00000000135","futsch","PIERAPG00000000042"
"PIERAPT00000000136","Ccdc88c","PIERAPG00000000043"
"PIERAPT00000000137","Ccdc88c","PIERAPG00000000043"
"PIERAPT00000000138","Ccdc88c","PIERAPG00000000043"
"PIERAPT00000000139","Ccdc88c","PIERAPG00000000043"
"PIERAPT00000000140","Ccdc88c","PIERAPG00000000043"
"PIERAPT00000000141","Whsc1","PIERAPG00000000044"
"PIERAPT00000000142","Whsc1","PIERAPG00000000044"
"PIERAPT00000000143","Whsc1","PIERAPG00000000044"
"PIERAPT00000000144","Whsc1","PIERAPG00000000044"
"PIERAPT00000000145","PLEKHG4B","PIERAPG00000000045"
"PIERAPT00000000146","clpP","PIERAPG00000000046"
"PIERAPT00000000147","cpx","PIERAPG00000000047"
"PIERAPT00000000148","SCAF8","PIERAPG00000000048"
"PIERAPT00000000149","SCAF8","PIERAPG00000000048"
"PIERAPT00000000150","SCAF8","PIERAPG00000000048"
"PIERAPT00000000151","SCAF8","PIERAPG00000000048"
"PIERAPT00000000152","SCAF8","PIERAPG00000000048"
"PIERAPT00000000153","SCAF8","PIERAPG00000000048"
"PIERAPT00000000154","SCAF8","PIERAPG00000000048"
"PIERAPT00000000155","SCAF8","PIERAPG00000000048"
"PIERAPT00000000156","SCAF8","PIERAPG00000000048"
"PIERAPT00000000157","SCAF8","PIERAPG00000000048"
"PIERAPT00000000158","SCAF8","PIERAPG00000000048"
"PIERAPT00000000159","SCAF8","PIERAPG00000000048"
"PIERAPT00000000160","SCAF8","PIERAPG00000000048"
"PIERAPT00000000161","SCAF8","PIERAPG00000000048"
"PIERAPT00000000162","SCAF8","PIERAPG00000000048"
"PIERAPT00000000163","SCAF8","PIERAPG00000000048"
"PIERAPT00000000164","SPAC12B10.01c","PIERAPG00000000049"
"PIERAPT00000000165","CYP6B3","PIERAPG00000000050"
"PIERAPT00000000166","ERF112","PIERAPG00000000051"
"PIERAPT00000000167","PRMT1","PIERAPG00000000052"
"PIERAPT00000000168","PLEKHA5","PIERAPG00000000053"
"PIERAPT00000000169","PLEKHA5","PIERAPG00000000053"
"PIERAPT00000000170","PLEKHA5","PIERAPG00000000053"
"PIERAPT00000000171","PLEKHA5","PIERAPG00000000053"
"PIERAPT00000000172","PLEKHA5","PIERAPG00000000053"
"PIERAPT00000000173","PLEKHA5","PIERAPG00000000053"
"PIERAPT00000000174","PLEKHA5","PIERAPG00000000053"
"PIERAPT00000000175","PLEKHA5","PIERAPG00000000053"
"PIERAPT00000000176","PLEKHA5","PIERAPG00000000053"
"PIERAPT00000000177","ubiE","PIERAPG00000000054"
"PIERAPT00000000178","ubiE","PIERAPG00000000054"
"PIERAPT00000000179","ubiE","PIERAPG00000000054"
"PIERAPT00000000180","IFI30","PIERAPG00000000055"
"PIERAPT00000000181","bca-1","PIERAPG00000000056"
"PIERAPT00000000182","ELAC2","PIERAPG00000000057"
"PIERAPT00000000183","ELAC2","PIERAPG00000000057"
"PIERAPT00000000184","ELAC2","PIERAPG00000000057"
"PIERAPT00000000185","ELAC2","PIERAPG00000000057"
"PIERAPT00000000186","ELAC2","PIERAPG00000000057"
"PIERAPT00000000187","ELAC2","PIERAPG00000000057"
"PIERAPT00000000188","ELAC2","PIERAPG00000000057"
"PIERAPT00000000189","ELAC2","PIERAPG00000000057"
"PIERAPT00000000190","ELAC2","PIERAPG00000000057"
"PIERAPT00000000191","ELAC2","PIERAPG00000000057"
"PIERAPT00000000192","ELAC2","PIERAPG00000000057"
"PIERAPT00000000193","ELAC2","PIERAPG00000000057"
"PIERAPT00000000194","ELAC2","PIERAPG00000000057"
"PIERAPT00000000195","ELAC2","PIERAPG00000000057"
"PIERAPT00000000196","ELAC2","PIERAPG00000000057"
"PIERAPT00000000197","ELAC2","PIERAPG00000000057"
"PIERAPT00000000198","ELAC2","PIERAPG00000000057"
"PIERAPT00000000199","ELAC2","PIERAPG00000000057"
"PIERAPT00000000200","G109606","PIERAPG00000000058"
"PIERAPT00000000201","G109606","PIERAPG00000000058"
"PIERAPT00000000202","G109606","PIERAPG00000000058"
"PIERAPT00000000203","G109606","PIERAPG00000000058"
"PIERAPT00000000204","G109606","PIERAPG00000000058"
"PIERAPT00000000205","G109606","PIERAPG00000000058"
"PIERAPT00000000206","G109606","PIERAPG00000000058"
"PIERAPT00000000207","RAD51A","PIERAPG00000000059"
"PIERAPT00000000208","GST2","PIERAPG00000000060"
"PIERAPT00000000209","EPHX4rlmF","PIERAPG00000000061"
"PIERAPT00000000210","EPHX4rlmF","PIERAPG00000000061"
"PIERAPT00000000211","EPHX4rlmF","PIERAPG00000000061"
"PIERAPT00000000212","Obp72","PIERAPG00000000062"
"PIERAPT00000000213","CYP4C1","PIERAPG00000000063"
"PIERAPT00000000214","CYP4C1","PIERAPG00000000063"
"PIERAPT00000000215","CYP4C1","PIERAPG00000000063"
"PIERAPT00000000216","CYP4C1","PIERAPG00000000063"
"PIERAPT00000000217","CYP4C1","PIERAPG00000000063"
"PIERAPT00000000218","CYP4C1","PIERAPG00000000063"
"PIERAPT00000000219","CYP4C1","PIERAPG00000000063"
"PIERAPT00000000220","CYP4C1","PIERAPG00000000063"
"PIERAPT00000000221","CYP4C1","PIERAPG00000000063"
"PIERAPT00000000222","CYP4C1","PIERAPG00000000063"
"PIERAPT00000000223","CYP4C1","PIERAPG00000000063"
"PIERAPT00000000224","CYP4C1","PIERAPG00000000063"
"PIERAPT00000000225","Fs(2)Ket","PIERAPG00000000064"
"PIERAPT00000000226","Sec31bSntn","PIERAPG00000000065"
"PIERAPT00000000227","Sec31bSntn","PIERAPG00000000065"
"PIERAPT00000000228","Sec31bSntn","PIERAPG00000000065"
"PIERAPT00000000229","MRPL43","PIERAPG00000000066"
"PIERAPT00000000230","Gel","PIERAPG00000000067"
"PIERAPT00000000231","holn1","PIERAPG00000000068"
"PIERAPT00000000232","SODCC.2","PIERAPG00000000069"
"PIERAPT00000000233","SODCC.2","PIERAPG00000000069"
"PIERAPT00000000234","SODCC.2","PIERAPG00000000069"
"PIERAPT00000000235","SODCC.2","PIERAPG00000000069"
"PIERAPT00000000236","SODCC.2","PIERAPG00000000069"
"PIERAPT00000000237","HI_1042","PIERAPG00000000070"
"PIERAPT00000000238","HI_1042","PIERAPG00000000070"
"PIERAPT00000000239","tbpl1","PIERAPG00000000071"
"PIERAPT00000000240","tbpl1","PIERAPG00000000071"
"PIERAPT00000000241","tbpl1","PIERAPG00000000071"
"PIERAPT00000000242","astA","PIERAPG00000000072"
"PIERAPT00000000243","Bgb","PIERAPG00000000073"
"PIERAPT00000000244","Bgb","PIERAPG00000000073"
"PIERAPT00000000245","B4galt7","PIERAPG00000000074"
"PIERAPT00000000246","B4galt7","PIERAPG00000000074"
"PIERAPT00000000247","Ift81","PIERAPG00000000075"
"PIERAPT00000000248","Ift81","PIERAPG00000000075"
"PIERAPT00000000249","Ttpal","PIERAPG00000000076"
"PIERAPT00000000250","Ttpal","PIERAPG00000000076"
"PIERAPT00000000251","DDB_G0290223","PIERAPG00000000077"
"PIERAPT00000000252","PSR","PIERAPG00000000078"
"PIERAPT00000000253","LAC11","PIERAPG00000000079"
"PIERAPT00000000254","snrpd3","PIERAPG00000000080"
"PIERAPT00000000255","Rif1","PIERAPG00000000081"
"PIERAPT00000000256","Rif1","PIERAPG00000000081"
"PIERAPT00000000257","Rif1","PIERAPG00000000081"
"PIERAPT00000000258","Rif1","PIERAPG00000000081"
"PIERAPT00000000259","Rif1","PIERAPG00000000081"
"PIERAPT00000000260","wge","PIERAPG00000000082"
"PIERAPT00000000261","WASF2","PIERAPG00000000083"
"PIERAPT00000000262","PPIL1","PIERAPG00000000084"
"PIERAPT00000000263","Orct2","PIERAPG00000000085"
"PIERAPT00000000264","Orct2","PIERAPG00000000085"
"PIERAPT00000000265","Orct2","PIERAPG00000000085"
"PIERAPT00000000266","Orct2","PIERAPG00000000085"
"PIERAPT00000000267","Pabp2","PIERAPG00000000086"
"PIERAPT00000000268","Tgfbi","PIERAPG00000000087"
"PIERAPT00000000269","FAM135A","PIERAPG00000000088"
"PIERAPT00000000270","FAM135A","PIERAPG00000000088"
"PIERAPT00000000271","FAM135A","PIERAPG00000000088"
"PIERAPT00000000272","FAM135A","PIERAPG00000000088"
"PIERAPT00000000273","FAM135A","PIERAPG00000000088"
"PIERAPT00000000274","G113907","PIERAPG00000000089"
"PIERAPT00000000275","Obp72_2","PIERAPG00000000090"
"PIERAPT00000000276","Obp72_2","PIERAPG00000000090"
"PIERAPT00000000277","Rab21","PIERAPG00000000091"
"PIERAPT00000000278","Pdia6","PIERAPG00000000092"
"PIERAPT00000000279","BRAP","PIERAPG00000000093"
"PIERAPT00000000280","BRAP","PIERAPG00000000093"
"PIERAPT00000000281","G114722","PIERAPG00000000094"
"PIERAPT00000000282","Cdt1","PIERAPG00000000095"
"PIERAPT00000000283","ZNF853drm","PIERAPG00000000096"
"PIERAPT00000000284","ZNF853drm","PIERAPG00000000096"
"PIERAPT00000000285","ZNF853drm","PIERAPG00000000096"
"PIERAPT00000000286","glt-1","PIERAPG00000000097"
"PIERAPT00000000287","glt-1","PIERAPG00000000097"
"PIERAPT00000000288","glt-1","PIERAPG00000000097"
"PIERAPT00000000289","glt-1","PIERAPG00000000097"
"PIERAPT00000000290","glt-1","PIERAPG00000000097"
"PIERAPT00000000291","glt-1","PIERAPG00000000097"
"PIERAPT00000000292","glt-1","PIERAPG00000000097"
"PIERAPT00000000293","Tango1","PIERAPG00000000098"
"PIERAPT00000000294","tdcB","PIERAPG00000000099"
"PIERAPT00000000295","Ptpn9","PIERAPG00000000100"
"PIERAPT00000000296","Dbt","PIERAPG00000000101"
"PIERAPT00000000297","Dbt","PIERAPG00000000101"
"PIERAPT00000000298","LRIT2","PIERAPG00000000102"
"PIERAPT00000000299","ergic3SYAC","PIERAPG00000000103"
"PIERAPT00000000300","ergic3SYAC","PIERAPG00000000103"
"PIERAPT00000000301","ergic3SYAC","PIERAPG00000000103"
"PIERAPT00000000302","ergic3SYAC","PIERAPG00000000103"
"PIERAPT00000000303","ergic3SYAC","PIERAPG00000000103"
"PIERAPT00000000304","ergic3SYAC","PIERAPG00000000103"
"PIERAPT00000000305","ergic3SYAC","PIERAPG00000000103"
"PIERAPT00000000306","CG18335ELP3","PIERAPG00000000104"
"PIERAPT00000000307","CG18335ELP3","PIERAPG00000000104"
"PIERAPT00000000308","Edg84A","PIERAPG00000000105"
"PIERAPT00000000309","Riok2","PIERAPG00000000106"
"PIERAPT00000000310","Ppp2r4","PIERAPG00000000107"
"PIERAPT00000000311","DNApol-alpha73","PIERAPG00000000108"
"PIERAPT00000000312","DNApol-alpha73","PIERAPG00000000108"
"PIERAPT00000000313","ABCC1","PIERAPG00000000109"
"PIERAPT00000000314","ABCC1","PIERAPG00000000109"
"PIERAPT00000000315","CTR2","PIERAPG00000000110"
"PIERAPT00000000316","PebIII","PIERAPG00000000111"
"PIERAPT00000000317","PebIII","PIERAPG00000000111"
"PIERAPT00000000318","brnQ","PIERAPG00000000112"
"PIERAPT00000000319","SERPINB9","PIERAPG00000000113"
"PIERAPT00000000320","murD","PIERAPG00000000114"
"PIERAPT00000000321","Tssc1","PIERAPG00000000115"
"PIERAPT00000000322","Tssc1","PIERAPG00000000115"
"PIERAPT00000000323","Tssc1","PIERAPG00000000115"
"PIERAPT00000000324","Tssc1","PIERAPG00000000115"
"PIERAPT00000000325","Tssc1","PIERAPG00000000115"
"PIERAPT00000000326","Tssc1","PIERAPG00000000115"
"PIERAPT00000000327","PLXNA4","PIERAPG00000000116"
"PIERAPT00000000328","Obp19d","PIERAPG00000000117"
"PIERAPT00000000329","NEGR1","PIERAPG00000000118"
"PIERAPT00000000330","EGT","PIERAPG00000000119"
"PIERAPT00000000331","TpnC47D","PIERAPG00000000120"
"PIERAPT00000000332","TpnC47D","PIERAPG00000000120"
"PIERAPT00000000333","TpnC47D","PIERAPG00000000120"
"PIERAPT00000000334","TpnC47D","PIERAPG00000000120"
"PIERAPT00000000335","let-4","PIERAPG00000000121"
"PIERAPT00000000336","HIGD1A","PIERAPG00000000122"
"PIERAPT00000000337","fam32al","PIERAPG00000000123"
"PIERAPT00000000338","Shaw","PIERAPG00000000124"
"PIERAPT00000000339","SREBF1","PIERAPG00000000125"
"PIERAPT00000000340","SREBF1","PIERAPG00000000125"
"PIERAPT00000000341","SREBF1","PIERAPG00000000125"
"PIERAPT00000000342","CCDC63","PIERAPG00000000126"
"PIERAPT00000000343","CCDC63","PIERAPG00000000126"
"PIERAPT00000000344","su(w[a])","PIERAPG00000000127"
"PIERAPT00000000345","su(w[a])","PIERAPG00000000127"
"PIERAPT00000000346","su(w[a])","PIERAPG00000000127"
"PIERAPT00000000347","su(w[a])","PIERAPG00000000127"
"PIERAPT00000000348","gatc","PIERAPG00000000128"
"PIERAPT00000000349","gatc","PIERAPG00000000128"
"PIERAPT00000000350","Gpl","PIERAPG00000000129"
