"name","TrxID","GeneID","Npeptides","Ndetect.apy","Ndetect.eup","ID","Nobs.apy","Nobs.eup","mar","specific.eup","specific.apy","imputed","num_NAs","Means.Apy","Means.Eupy","Means.All","Apyrene_vs_Eupyrene_CI.L","Apyrene_vs_Eupyrene_CI.R","Apyrene_vs_Eupyrene_diff","Apyrene_vs_Eupyrene_p.adj","Apyrene_vs_Eupyrene_p.val","significant","Apyrene_vs_Eupyrene_significant","Apyrene_vs_Eupyrene_p.bh","significant_bh","master.de"
"PIERAPT00000000899","PIERAPT00000000899","PIERAPG00000000375",4,6,6,"PIERAPG00000000375",5,6,TRUE,FALSE,FALSE,FALSE,0,16.5694774635766,16.5192694059183,16.5192694059183,-0.515126235209901,0.699222446623824,0.0920481057069615,0.907383670308434,0.751882428989254,FALSE,FALSE,0.886991928020134,FALSE,"unbiased"
"PIERAPT00000000935","PIERAPT00000000935","PIERAPG00000000386",5,6,5,"PIERAPG00000000386",5,5,TRUE,FALSE,FALSE,TRUE,1,17.9688149607138,16.9673211210643,16.9673211210643,0.824080480274874,2.84806359844016,1.83607203935752,0.175222305824912,0.00144485645920509,FALSE,FALSE,0.0142261669355457,TRUE,"apyrene"
"PIERAPT00000000948","PIERAPT00000000948","PIERAPG00000000391",2,4,3,"PIERAPG00000000391",4,5,TRUE,FALSE,FALSE,TRUE,2,14.4632902764194,14.4639714139423,14.4639714139423,-0.807821589719196,0.805324085468409,-0.00124875212539344,0.920594364395637,0.997419637820651,FALSE,FALSE,0.999974221839782,FALSE,"unbiased"
"PIERAPT00000000970","PIERAPT00000000970","PIERAPG00000000403",1,3,4,"PIERAPG00000000403",4,5,TRUE,FALSE,FALSE,TRUE,2,13.496503077478,13.4577207039755,13.4577207039755,-0.686649371487725,0.828851407663624,0.0711010180879494,0.912925128302236,0.844704967929072,FALSE,FALSE,0.937182681373911,FALSE,"unbiased"
"PIERAPT00000000980","PIERAPT00000000980","PIERAPG00000000411",1,4,6,"PIERAPG00000000411",5,6,TRUE,FALSE,FALSE,FALSE,0,17.3016777461804,17.2385295713412,17.2385295713412,-1.25698007795561,1.48852338569928,0.115771653871832,0.913778468344019,0.860234224011826,FALSE,FALSE,0.943774110242679,FALSE,"unbiased"
"PIERAPT00000001011","PIERAPT00000001011","PIERAPG00000000426",5,6,5,"PIERAPG00000000426",5,6,TRUE,FALSE,FALSE,FALSE,0,17.5472786451775,16.7682087941563,16.7682087941563,0.493817439756575,2.36277201398783,1.4282947268722,0.352266661602755,0.0051597884166653,FALSE,FALSE,0.0376978744504962,TRUE,"apyrene"
"PIERAPT00000001013","PIERAPT00000001013","PIERAPG00000000428",32,6,6,"PIERAPG00000000428",5,6,TRUE,FALSE,FALSE,FALSE,0,21.691369006589,22.3588279402434,22.3588279402434,-2.02284443639482,-0.424504987004533,-1.22367471169968,0.350346842231266,0.00509736996948446,FALSE,FALSE,0.0376978744504962,TRUE,"eupyrene"
"PIERAPT00000001033","PIERAPT00000001033","PIERAPG00000000444",13,6,6,"PIERAPG00000000444",5,6,TRUE,FALSE,FALSE,FALSE,0,20.0973812120055,22.3514611080578,22.3514611080578,-4.86085665295526,-3.40410296590321,-4.13247980942923,2.03866662696315e-11,2.2815115725561e-09,TRUE,TRUE,3.1598935279902e-07,TRUE,"eupyrene"
"PIERAPT00000001089","PIERAPT00000001089","PIERAPG00000000463",2,3,4,"PIERAPG00000000463",3,4,TRUE,FALSE,FALSE,TRUE,4,15.9572153403801,15.4367443146795,15.4367443146795,0.207923521618586,1.70047023928355,0.954196880451068,0.528002807390503,0.0154760183200236,FALSE,FALSE,0.0905674029854905,FALSE,"unbiased"
"PIERAPT00000001109","PIERAPT00000001109","PIERAPG00000000474",1,2,4,"PIERAPG00000000474",2,4,TRUE,FALSE,FALSE,TRUE,5,15.5865699941343,15.3000473051634,15.3000473051634,-0.570753008393182,1.62133620128666,0.525291596446738,0.860924589356497,0.324448540467358,FALSE,FALSE,0.594189490718695,FALSE,"unbiased"
"PIERAPT00000001114","PIERAPT00000001114","PIERAPG00000000478",8,6,6,"PIERAPG00000000478",5,6,TRUE,FALSE,FALSE,FALSE,0,18.7156661917026,18.2102588350743,18.2102588350743,0.146612657098477,1.70654765053852,0.926580153818499,0.58689579841271,0.0228500869288297,FALSE,FALSE,0.117212482949737,FALSE,"unbiased"
"PIERAPT00000001174","PIERAPT00000001174","PIERAPG00000000493",4,6,6,"PIERAPG00000000493",5,6,TRUE,FALSE,FALSE,FALSE,0,19.0641625989742,18.7601934014977,18.7601934014977,-0.081903053271321,1.19645677735177,0.557276862040222,0.748900485681855,0.0830785560432821,FALSE,FALSE,0.27183440121056,FALSE,"unbiased"
"PIERAPT00000001178","PIERAPT00000001178","PIERAPG00000000495",2,5,5,"PIERAPG00000000495",5,5,TRUE,FALSE,FALSE,TRUE,1,16.4894462276128,15.6125074100549,15.6125074100549,0.784239071297371,2.43120325974807,1.60772116552272,0.114303863161813,0.000783700919513348,FALSE,FALSE,0.00874168408208848,TRUE,"apyrene"
"PIERAPT00000001190","PIERAPT00000001190","PIERAPG00000000504",4,0,5,"PIERAPG00000000504",0,5,FALSE,TRUE,FALSE,TRUE,6,15.3407222796959,15.4667569127305,15.4667569127305,-0.823677251200844,0.361550263407192,-0.231063493896826,0.876661398600719,0.420313046823479,FALSE,FALSE,0.672712843662495,FALSE,"eupyrene"
"PIERAPT00000001201","PIERAPT00000001201","PIERAPG00000000506",3,2,4,"PIERAPG00000000506",2,4,TRUE,FALSE,FALSE,TRUE,5,14.772883249455,14.8636001581673,14.8636001581673,-1.12388994352299,0.791261278244238,-0.166314332639374,0.905096729721621,0.717332565000438,FALSE,FALSE,0.869854797056372,FALSE,"unbiased"
"PIERAPT00000001205","PIERAPT00000001205","PIERAPG00000000509",6,5,6,"PIERAPG00000000509",5,6,TRUE,FALSE,FALSE,FALSE,0,17.4202163715459,17.0127162068346,17.0127162068346,-0.29040061263233,1.78456788324019,0.74708363530393,0.8020901001931,0.146253941847998,FALSE,FALSE,0.378620017681266,FALSE,"unbiased"
"PIERAPT00000001222","PIERAPT00000001222","PIERAPG00000000520",1,3,4,"PIERAPG00000000520",4,4,TRUE,FALSE,FALSE,TRUE,3,13.3149387819643,13.4259408162827,13.4259408162827,-0.916421447818539,0.509413988651126,-0.203503729583707,0.891891790559345,0.55327076507134,FALSE,FALSE,0.769486202132692,FALSE,"unbiased"
"PIERAPT00000001231","PIERAPT00000001231","PIERAPG00000000524",3,5,6,"PIERAPG00000000524",5,6,TRUE,FALSE,FALSE,FALSE,0,15.4258968076245,15.542612123594,15.542612123594,-0.854432082052086,0.426475923497461,-0.213978079277313,0.885183122225632,0.488645601197937,FALSE,FALSE,0.7264123338023,FALSE,"unbiased"
"PIERAPT00000001281","PIERAPT00000001281","PIERAPG00000000540",13,6,6,"PIERAPG00000000540",5,6,TRUE,FALSE,FALSE,FALSE,0,21.2533294755015,21.3633090528891,21.3633090528891,-0.928938686078416,0.525680235657069,-0.201629225210674,0.892964463480452,0.564637312096944,FALSE,FALSE,0.779147247394033,FALSE,"unbiased"
"PIERAPT00000001392","PIERAPT00000001392","PIERAPG00000000590",5,5,6,"PIERAPG00000000590",5,6,TRUE,FALSE,FALSE,FALSE,0,19.060543080712,18.8112708641898,18.8112708641898,-0.563206006920775,1.477204134169,0.45699906362411,0.866754296781155,0.356119683783882,FALSE,FALSE,0.623678518913394,FALSE,"unbiased"
