ID=PIERAPG00000000103;Name=ergic3SYAC
ID=PIERAPG00000000104;Name=CG18335ELP3
ID=PIERAPG00000000105;Name=Edg84A
ID=PIERAPG00000000106;Name=Riok2
ID=PIERAPG00000000107;Name=Ppp2r4
ID=PIERAPG00000000108;Name=DNApol-alpha73
ID=PIERAPG00000000109;Name=ABCC1
ID=PIERAPG00000000110;Name=CTR2
ID=PIERAPG00000000111;Name=PebIII
ID=PIERAPG00000000112;Name=brnQ
ID=PIERAPG00000000113;Name=SERPINB9
ID=PIERAPG00000000114;Name=murD
ID=PIERAPG00000000115;Name=Tssc1
ID=PIERAPG00000000116;Name=PLXNA4
ID=PIERAPG00000000117;Name=Obp19d
ID=PIERAPG00000000118;Name=NEGR1
ID=PIERAPG00000000119;Name=EGT
ID=PIERAPG00000000120;Name=TpnC47D
ID=PIERAPG00000000121;Name=let-4
ID=PIERAPG00000000122;Name=HIGD1A
ID=PIERAPG00000000123;Name=fam32al
ID=PIERAPG00000000124;Name=Shaw
ID=PIERAPG00000000125;Name=SREBF1
ID=PIERAPG00000000126;Name=CCDC63
ID=PIERAPG00000000127;Name=su(w[a])
ID=PIERAPG00000000128;Name=gatc
ID=PIERAPG00000000129;Name=Gpl
ID=PIERAPG00000000130;Name=PKDREJ
ID=PIERAPG00000000131;Name=AGPAT1
ID=PIERAPG00000000132;Name=HCFC1
ID=PIERAPG00000000133;Name=CLPTM1
ID=PIERAPG00000000134;Name=TTN
ID=PIERAPG00000000135;Name=Snx16C2
ID=PIERAPG00000000136;Name=Tstd3
ID=PIERAPG00000000137;Name=CXorf65
ID=PIERAPG00000000138;Name=RBP1
ID=PIERAPG00000000139;Name=Klhdc4
ID=PIERAPG00000000140;Name=Wnt2b
ID=PIERAPG00000000141;Name=ydgB
ID=PIERAPG00000000142;Name=Ddx1
ID=PIERAPG00000000143;Name=Tnks
ID=PIERAPG00000000144;Name=ClgnCanx
ID=PIERAPG00000000145;Name=ATP5L
ID=PIERAPG00000000146;Name=Ald
ID=PIERAPG00000000147;Name=NUDT8
ID=PIERAPG00000000148;Name=Srp68
ID=PIERAPG00000000149;Name=ptsI
ID=PIERAPG00000000150;Name=pheT
ID=PIERAPG00000000151;Name=G105113
ID=PIERAPG00000000152;Name=ZNF682
ID=PIERAPG00000000153;Name=G108143
ID=PIERAPG00000000154;Name=mical3a
ID=PIERAPG00000000155;Name=Tmcc2
ID=PIERAPG00000000156;Name=Kr
ID=PIERAPG00000000157;Name=Six2
ID=PIERAPG00000000158;Name=Rrp7a
ID=PIERAPG00000000159;Name=truA1
ID=PIERAPG00000000160;Name=yuaG
ID=PIERAPG00000000161;Name=chpLRFN1
ID=PIERAPG00000000162;Name=SIDL
ID=PIERAPG00000000163;Name=efp
ID=PIERAPG00000000164;Name=yclI
ID=PIERAPG00000000165;Name=TYB12Tmsb4x
ID=PIERAPG00000000166;Name=Glod4
ID=PIERAPG00000000167;Name=Pnpt1
ID=PIERAPG00000000168;Name=Slc2a8
ID=PIERAPG00000000169;Name=MVK
ID=PIERAPG00000000170;Name=Hrb27C
ID=PIERAPG00000000171;Name=G108105
ID=PIERAPG00000000172;Name=SelD
ID=PIERAPG00000000173;Name=Paf-AHalpha
ID=PIERAPG00000000174;Name=ELOVL4
ID=PIERAPG00000000175;Name=MPCP
ID=PIERAPG00000000176;Name=l(2)04524
ID=PIERAPG00000000177;Name=IWS1HydininfB
ID=PIERAPG00000000178;Name=Zmynd10
ID=PIERAPG00000000179;Name=PRKCG
ID=PIERAPG00000000180;Name=ANK3
ID=PIERAPG00000000181;Name=Capsl
ID=PIERAPG00000000182;Name=RNF19A
ID=PIERAPG00000000183;Name=G107895
ID=PIERAPG00000000184;Name=CHYM1
ID=PIERAPG00000000185;Name=abfA
ID=PIERAPG00000000186;Name=pdhD
ID=PIERAPG00000000187;Name=Chp1
ID=PIERAPG00000000188;Name=Ppp1r12b
ID=PIERAPG00000000189;Name=SLC22A4
ID=PIERAPG00000000190;Name=Shfm1
ID=PIERAPG00000000191;Name=blos3
